GridX,GridY,Power
0,0,-161.06583428325
0,1,-97.02556294571428
0,2,-109.85728699791045
0,3,-67.54149009475
0,4,-57.7848723204762
0,5,-57.97983570066666
0,6,-200.0
0,7,-200.0
0,8,-200.0
0,9,-200.0
0,10,-200.0
0,11,-200.0
0,13,-200.0
0,14,-200.0
0,15,-200.0
0,16,-200.0
0,17,-200.0
0,18,-200.0
0,19,-200.0
0,20,-200.0
0,21,-200.0
0,22,-200.0
0,23,-200.0
0,24,-200.0
0,25,-91.37229958018519
0,26,-117.5672957663889
0,27,-174.49857826125
1,1,-158.32459854772728
1,2,-87.09673060343435
1,3,-60.94099369909091
1,4,-56.91179758787879
1,5,-57.18304840030303
1,7,-200.0
1,8,-200.0
1,9,-200.0
1,10,-200.0
1,11,-200.0
1,13,-200.0
1,14,-200.0
1,15,-200.0
1,16,-200.0
1,17,-200.0
1,18,-200.0
1,19,-200.0
1,20,-200.0
1,21,-200.0
1,22,-200.0
1,23,-200.0
1,24,-186.98604876463637
1,25,-79.80707328939394
1,26,-131.9083764110101
1,27,-97.739535195
2,0,-56.343772660499994
2,1,-184.80044597416668
2,2,-100.95885708111112
2,3,-57.273890572
2,4,-56.77762400525253
2,5,-57.021808015454546
2,7,-200.0
2,8,-200.0
2,9,-200.0
2,10,-200.0
2,11,-200.0
2,13,-200.0
2,14,-200.0
2,15,-200.0
2,16,-200.0
2,17,-200.0
2,18,-200.0
2,19,-200.0
2,20,-200.0
2,21,-200.0
2,22,-200.0
2,23,-195.1207487987879
2,24,-131.53322218272726
2,25,-92.86014996030303
2,26,-113.96894129333334
2,27,-149.77467757863636
3,0,-70.57489558345455
3,1,-63.35162200050505
3,2,-56.888639943939395
3,3,-57.99621761327273
3,4,-57.429961434545454
3,5,-57.20354024377358
3,12,-200.0
3,13,-200.0
3,14,-200.0
3,15,-200.0
3,16,-200.0
3,17,-200.0
3,18,-200.0
3,19,-200.0
3,20,-200.0
3,21,-200.0
3,22,-182.90846520252524
3,23,-152.4125943781818
3,24,-127.06719962572727
3,25,-127.46034319555555
3,26,-197.52205778070706
3,27,-200.0
4,0,-64.6236303650909
4,1,-56.29468929060606
4,2,-56.153530507979795
4,3,-57.280420526363635
4,4,-58.77132563282828
4,5,-73.38311210168422
4,6,-144.8455788509524
4,7,-196.22460169214284
4,8,-200.0
4,9,-200.0
4,10,-200.0
4,11,-200.0
4,12,-200.0
4,13,-200.0
4,14,-200.0
4,15,-200.0
4,16,-200.0
4,17,-200.0
4,18,-200.0
4,19,-200.0
4,20,-200.0
4,21,-200.0
4,22,-200.0
4,23,-200.0
4,24,-117.43433748345454
4,25,-163.7910536919192
4,26,-200.0
4,27,-200.0
5,0,-55.71678132118182
5,1,-56.695753305353534
5,2,-56.692099115252525
5,3,-58.26614828790909
5,4,-94.98239203656566
5,5,-188.71374745636362
5,6,-195.99534117646465
5,7,-146.01664744254546
5,8,-182.6999680620202
5,9,-200.0
5,10,-200.0
5,11,-200.0
5,12,-200.0
5,13,-200.0
5,14,-200.0
5,15,-200.0
5,16,-200.0
5,17,-200.0
5,18,-200.0
5,19,-200.0
5,20,-200.0
5,21,-200.0
5,22,-200.0
5,23,-200.0
5,24,-97.81709851045454
5,25,-193.96218495242422
5,26,-198.71144535252526
5,27,-147.0214604381818
6,0,-55.14335211581818
6,1,-67.0916940470707
6,2,-78.76220793939393
6,3,-101.98713763945455
6,4,-94.72517374626263
6,5,-196.01922865050503
6,6,-200.0
6,7,-200.0
6,8,-156.13330057131313
6,9,-162.235618354023
6,10,-200.0
6,12,-200.0
6,13,-200.0
6,14,-200.0
6,15,-200.0
6,16,-200.0
6,17,-200.0
6,18,-200.0
6,19,-200.0
6,20,-200.0
6,21,-200.0
6,22,-200.0
6,23,-192.74709752787876
6,24,-100.79195562754546
6,25,-156.10379249272728
6,26,-90.3893574159596
6,27,-71.69399781999999
7,0,-83.43351633790908
7,1,-117.06662406404041
7,2,-168.6032608910101
7,3,-200.0
7,4,-135.00343821565656
7,5,-116.52365932181819
7,6,-194.70593512343436
7,7,-200.0
7,8,-200.0
7,9,-200.0
7,12,-200.0
7,13,-200.0
7,14,-200.0
7,15,-200.0
7,16,-200.0
7,17,-200.0
7,18,-200.0
7,19,-200.0
7,20,-188.3011086260606
7,21,-146.25081202818183
7,22,-115.7176526090909
7,23,-119.44396668262625
7,24,-92.20561876327274
7,25,-109.58159601040404
7,26,-86.37215794909092
7,27,-72.43529424227273
8,0,-135.21272237218182
8,1,-192.83991565333332
8,2,-200.0
8,3,-200.0
8,4,-200.0
8,5,-133.8519599789899
8,6,-114.09373892707072
8,7,-195.24730229118182
8,8,-200.0
8,9,-200.0
8,12,-200.0
8,13,-200.0
8,14,-200.0
8,15,-200.0
8,16,-200.0
8,17,-197.4155394087
8,18,-145.64403449919192
8,19,-115.34694363585858
8,20,-111.55822763626263
8,21,-125.18741084927274
8,22,-126.0556910991919
8,23,-108.72242561121212
8,24,-132.23599344472726
8,25,-184.4918818341414
8,26,-145.04462948969697
8,27,-78.61448956068182
9,0,-109.724179764
9,1,-200.0
9,2,-200.0
9,3,-200.0
9,18,-150.00024372636364
9,19,-133.50955625414142
9,20,-112.81307642323233
9,21,-148.01827056145456
9,22,-198.70172099363634
9,23,-118.86532351363637
9,24,-190.19320932072725
9,25,-200.0
9,26,-122.0304795389899
9,27,-80.39269786636363
10,0,-72.30097138895833
10,1,-82.60900893916667
10,2,-56.51569354111111
10,3,-64.14316702975
10,4,-61.692283647222226
10,5,-63.311673632222224
10,6,-123.37268595166668
10,7,-200.0
10,8,-200.0
10,9,-200.0
10,10,-200.0
10,11,-200.0
10,12,-200.0
10,13,-200.0
10,14,-200.0
10,15,-200.0
10,16,-200.0
10,17,-200.0
10,18,-200.0
10,19,-200.0
10,20,-198.7233231199074
10,21,-167.79413854433332
10,22,-146.24632052277778
10,23,-93.93835095425926
10,24,-159.55442085983336
10,25,-193.57170582453705
10,26,-96.92246075555556
10,27,-83.30268630333333
11,0,-68.21608940045455
11,1,-64.65796467979797
11,2,-89.22346718151516
11,3,-68.13838894472728
11,4,-60.90057726515151
11,5,-73.19126717147368
11,6,-165.83491971262498
11,7,-200.0
11,8,-200.0
11,9,-200.0
11,10,-200.0
11,11,-200.0
11,12,-200.0
11,13,-200.0
11,14,-200.0
11,15,-200.0
11,16,-200.0
11,17,-200.0
11,18,-200.0
11,19,-200.0
11,20,-200.0
11,21,-200.0
11,22,-185.4467525251515
